agent,full_name,total_commits,refactoring_commits,total_refactorings,mean_refactorings,median_refactorings,refactoring_rate_%,refactors_per_all_commits,refactors_per_refactoring_commit,denominator
Claude_Code,MeteorDevelopment/meteor-client,1,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Claude_Code,apache/pulsar,3,2,9,3.0,1.0,66.66666666666666,3.0,4.5,Observed agentic commits
Claude_Code,dotCMS/core,32,20,16771,524.09375,12.5,62.5,524.09375,838.55,Observed agentic commits
Claude_Code,hyperledger/besu,1,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,1c-syntax/bsl-language-server,40,15,91,2.275,0.0,37.5,2.275,6.066666666666666,Observed agentic commits
Copilot,AutoMQ/automq,1,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,Azure-Samples/azure-search-openai-demo-java,4,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,Azure/azure-sdk-for-java,106,39,11542,108.88679245283019,0.0,36.79245283018868,108.88679245283019,295.94871794871796,Observed agentic commits
Copilot,CarGuo/GSYVideoPlayer,2,1,3,1.5,1.5,50.0,1.5,3.0,Observed agentic commits
Copilot,EduMIPS64/edumips64,36,6,104,2.888888888888889,0.0,16.666666666666664,2.888888888888889,17.333333333333332,Observed agentic commits
Copilot,OWASP/wrongsecrets,26,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,RyanSusana/elepy,8,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,W1LDN16H7/JPL,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,YunaiV/ruoyi-vue-pro,5,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,akto-api-security/akto,6,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,apolloconfig/apollo,12,5,20,1.6666666666666667,0.0,41.66666666666667,1.6666666666666667,4.0,Observed agentic commits
Copilot,binarywang/WxJava,35,5,19,0.5428571428571428,0.0,14.285714285714285,0.5428571428571428,3.8,Observed agentic commits
Copilot,camunda/camunda,140,40,196,1.4,0.0,28.57142857142857,1.4,4.9,Observed agentic commits
Copilot,feiyuchuixue/sz-boot-parent,4,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,geoserver/geoserver,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,halo-dev/halo,7,1,2,0.2857142857142857,0.0,14.285714285714285,0.2857142857142857,2.0,Observed agentic commits
Copilot,hyperxpro/Brotli4j,4,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,jenkinsci/jira-plugin,6,3,94,15.666666666666666,9.0,50.0,15.666666666666666,31.333333333333332,Observed agentic commits
Copilot,microsoft/ApplicationInsights-Java,110,18,85,0.7727272727272727,0.0,16.363636363636363,0.7727272727272727,4.722222222222222,Observed agentic commits
Copilot,microsoft/HydraLab,4,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,microsoft/semantic-kernel-java,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,microsoft/typespec,329,10,3479,10.574468085106384,0.0,3.0395136778115504,10.574468085106384,347.9,Observed agentic commits
Copilot,mixpanel/mixpanel-android,7,2,2,0.2857142857142857,0.0,28.57142857142857,0.2857142857142857,1.0,Observed agentic commits
Copilot,objectionary/eo,30,3,18,0.6,0.0,10.0,0.6,6.0,Observed agentic commits
Copilot,qaiu/netdisk-fast-download,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,tonihele/OpenKeeper,3,1,2,0.6666666666666666,0.0,33.33333333333333,0.6666666666666666,2.0,Observed agentic commits
Copilot,trinodb/trino,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,vaadin/flow,13,3,50,3.8461538461538463,0.0,23.076923076923077,3.8461538461538463,16.666666666666668,Observed agentic commits
Copilot,valkey-io/valkey-glide,211,2,6,0.02843601895734597,0.0,0.9478672985781991,0.02843601895734597,3.0,Observed agentic commits
Copilot,wgzhao/Addax,15,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,wgzhao/dbeaver-agent,4,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,wso2/product-is,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,yegor256/cactoos,8,2,3,0.375,0.0,25.0,0.375,1.5,Observed agentic commits
Cursor,StarRocks/starrocks,30,5,27,0.9,0.0,16.666666666666664,0.9,5.4,Observed agentic commits
Cursor,YunaiV/ruoyi-vue-pro,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Cursor,YunaiV/yudao-cloud,1,1,1,1.0,1.0,100.0,1.0,1.0,Observed agentic commits
Cursor,datahub-project/datahub,20,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Cursor,jbangdev/jbang,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Cursor,liyupi/yu-ai-agent,1,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Cursor,lunasaw/gb28181-proxy,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Cursor,sakaiproject/sakai,6,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
Cursor,why168/LoopViewPagerLayout,1,1,3,3.0,3.0,100.0,3.0,3.0,Observed agentic commits
Devin,domaframework/doma,32,1,24,0.75,0.0,3.125,0.75,24.0,Observed agentic commits
Devin,rieckpil/testing-spring-boot-applications-masterclass,9,4,46,5.111111111111111,0.0,44.44444444444444,5.111111111111111,11.5,Observed agentic commits
OpenAI_Codex,2006-Scape/2006Scape,30,15,395,13.166666666666666,2.0,50.0,13.166666666666666,26.333333333333332,Observed agentic commits
OpenAI_Codex,Camelcade/Perl5-IDEA,8,5,9,1.125,1.0,62.5,1.125,1.8,Observed agentic commits
OpenAI_Codex,DataDog/dd-trace-java,2,1,1,0.5,0.5,50.0,0.5,1.0,Observed agentic commits
OpenAI_Codex,EduMIPS64/edumips64,5,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,GrimAnticheat/Grim,30,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,Igalia/wolvic,1,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,JetBrains/psiviewer,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,Kaljurand/K6nele,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,OpenHFT/Chronicle-Bytes,30,12,22,0.7333333333333333,0.0,40.0,0.7333333333333333,1.8333333333333333,Observed agentic commits
OpenAI_Codex,OpenHFT/Chronicle-Core,116,8,32,0.27586206896551724,0.0,6.896551724137931,0.27586206896551724,4.0,Observed agentic commits
OpenAI_Codex,OpenHFT/Chronicle-Logger,50,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,OpenHFT/Chronicle-Threads,53,1,2,0.03773584905660377,0.0,1.8867924528301887,0.03773584905660377,2.0,Observed agentic commits
OpenAI_Codex,OpenHFT/Chronicle-Values,102,1,1,0.00980392156862745,0.0,0.9803921568627451,0.00980392156862745,1.0,Observed agentic commits
OpenAI_Codex,OpenHFT/Chronicle-Wire,165,15,470,2.8484848484848486,0.0,9.090909090909092,2.8484848484848486,31.333333333333332,Observed agentic commits
OpenAI_Codex,OpenHFT/Java-Runtime-Compiler,12,2,3,0.25,0.0,16.666666666666664,0.25,1.5,Observed agentic commits
OpenAI_Codex,OpenHFT/Java-Thread-Affinity,36,7,53,1.4722222222222223,0.0,19.444444444444446,1.4722222222222223,7.571428571428571,Observed agentic commits
OpenAI_Codex,Photon-GitHub/AntiCheatAddition,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,SimonHalvdansson/Harmonic-HN,20,8,31,1.55,0.0,40.0,1.55,3.875,Observed agentic commits
OpenAI_Codex,Stirling-Tools/Stirling-PDF,17,5,13,0.7647058823529411,0.0,29.411764705882355,0.7647058823529411,2.6,Observed agentic commits
OpenAI_Codex,USS-Shenzhou/MadParticle,1,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,VerisimilitudeX/DNAnalyzer,75,8,29,0.38666666666666666,0.0,10.666666666666668,0.38666666666666666,3.625,Observed agentic commits
OpenAI_Codex,apache/ozone,9,4,357,39.666666666666664,0.0,44.44444444444444,39.666666666666664,89.25,Observed agentic commits
OpenAI_Codex,apache/pinot,12,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,chsami/Microbot,3,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,cwuom/ono,3,1,1,0.3333333333333333,0.0,33.33333333333333,0.3333333333333333,1.0,Observed agentic commits
OpenAI_Codex,dji-sdk/Mobile-SDK-Android-V5,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,freeplane/freeplane,3,1,20,6.666666666666667,0.0,33.33333333333333,6.666666666666667,20.0,Observed agentic commits
OpenAI_Codex,halilozel1903/AndroidTVMovieParadise,18,8,33,1.8333333333333333,0.0,44.44444444444444,1.8333333333333333,4.125,Observed agentic commits
OpenAI_Codex,ikarus23/MifareClassicTool,16,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,jdereg/java-util,282,83,642,2.276595744680851,0.0,29.432624113475175,2.276595744680851,7.734939759036145,Observed agentic commits
OpenAI_Codex,jdereg/json-io,133,22,38,0.2857142857142857,0.0,16.541353383458645,0.2857142857142857,1.7272727272727273,Observed agentic commits
OpenAI_Codex,kongzue/DialogX,2,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
OpenAI_Codex,nuxeo/nuxeo,1,1,6,6.0,6.0,100.0,6.0,6.0,Observed agentic commits
OpenAI_Codex,operaton/operaton,10,7,1418,141.8,1.5,70.0,141.8,202.57142857142858,Observed agentic commits
OpenAI_Codex,plantuml/plantuml,3,1,1,0.3333333333333333,0.0,33.33333333333333,0.3333333333333333,1.0,Observed agentic commits
OpenAI_Codex,sakaiproject/sakai,15,0,0,0.0,0.0,0.0,0.0,0.0,Observed agentic commits
